JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Skills,Job ID
Technical Lead,https://www.instahyre.com/job-310696-technical-lead-at-accacia-bangalore/,Bangalore,Accacia,AI-enabled platform for real estate and infrastructure companies,2022.0,10,Accacia is an AI-enabled platform for real estate and infrastructure sectors that allows companies to track emissions at the asset and portfolio levels and environment-related climate risks for their portfolios. ,"AWS, Node.js, TypeScript",310696
Software Development Engineer,https://www.instahyre.com/job-329819-software-development-engineer-at-clarisights-bangalore/,Bangalore,Clarisights,Next Generation BI platform for data driven marketers,2017.0,10,"Clarisights is a Software company that offers clients a platform to analyze their data in a single & intuitive interface, with specialities in Marketing Intelligence, Real-time Reporting & Marketing Collaboration.","Distributed Systems, Database Development, Java, C++, Data Structures",329819
Staff Software Engineer,https://www.instahyre.com/job-289933-staff-software-engineer-at-intuit-bangalore/,Bangalore,Intuit,Build solutions to challenging financial problems and Power Prosperity,1983.0,1000,"Intuit is an MNC that develops financial and tax preparation software. It makes the personal finance programs Quicken and TurboTax, and the small business accounting program QuickBooks. ","Java, Spring",289933
Senior Software Engineer,https://www.instahyre.com/job-317967-senior-software-engineer-at-dezerv-bangalore/,Bangalore,Dezerv,India's trusted Investment Partner,2021.0,200,"Dezerv is a fin-tech company that is developing a platform to offer UHNI like simplified investment solutions to professionals, founders are wealth managers with experience in managing over US$ 5 bn. ","C++, Golang, Java, Node.js, Python, Ruby, Ruby on Rails",317967
Business Development Executive,https://www.instahyre.com/job-284423-business-development-executive-at-learning-shala-delhi/,Delhi,Learning Shala,Choose your tomorrow,2018.0,50,"Learning Shala is a distance learning portal that enables students and working professionals to search for information about distance learning courses like certifications, colleges, admission procedures, etc. ",Sales,284423
Staff Backend Engineer,https://www.instahyre.com/job-294810-staff-backend-engineer-at-bitgo-bangalore/,Bangalore,BitGo,Digital asset and crypto platform,2013.0,50,"BitGo is an institutional digital asset and crypto platform with liquidity, custody, wallet, exchange, and security services, processing 20% of all global Bitcoin transactions and supports 250+ coins and tokens. ","Golang, Java, Node.js, Python",294810
Software Development Engineer 3,https://www.instahyre.com/job-328377-software-development-engineer-3-at-highlevel-work-from-home/,Work From Home,HighLevel,The fastest growing white-label platform,2018.0,500,"HighLevel is a SaaS-based B2B marketing platform that empowers marketing agencies with various automated tools across marketing, revenue, lead generation, and communication spaces. ","Angular, JavaScript, Node.js, React.js, Vue.js",328377
Node.js Developer,https://www.instahyre.com/job-329881-nodejs-developer-at-inference-labs-bangalore/,Bangalore,Inference Labs,Intelligence delivered,2018.0,10,"Inference Labs is an advanced analytics company and a trusted partner offering services for sales, marketing, computer vision, embedded analytics, and converse AI to Fortune 500 companies and unicorns globally. ","Node.js, Data Structures, Algorithms",329881
Senior Site Reliability Engineer,https://www.instahyre.com/job-328521-senior-site-reliability-engineer-at-one-2-bangalore/,Bangalore,One,Helping people achieve financial progress,2022.0,200,"One is a fin-tech company partnering with Coastal Community Bank to provide a comprehensive range of online banking services to cater to the diverse transactional requirements of users, all on a single platform. ","CI - CD, Incident Management, Jenkins, Monitoring, New Relic",328521
Sr. SDET - Native Automation,https://www.instahyre.com/job-329729-sr-sdet-native-automation-at-anoma-work-from-home/,Work From Home,Anoma,Delivering IT solutions to startups and medium scale companies,2021.0,50,"Anoma is an IT company that offers services for mobile application development, cloud, and data solutions, software QA and devops solutions while having operations across Asia and South America. ",Android,329729
Java Developer,https://www.instahyre.com/job-330021-java-developer-at-fraank-systems-bangalore/,Bangalore,Fraank Systems,We maximize the business growth,2010.0,50,"Fraank Systems is a next-gen global technology company that is helping businesses to grow and thrive in the digital age by providing app development, digital transformation, cloud and AI solutions, and more. ","Kafka, gRPC, Java, Docker",330021
