JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Frontend Architect,https://www.instahyre.com/job-323422-frontend-architect-at-headlamp-health-bangalore/,Bangalore,Headlamp Health,Bringing greater precision to mental health care,2022.0,10,Headlamp Health is a software company in the healthcare domain that provides tools for mental health providers helping them access the medical and psychiatric histories and records of their patients seamlessly. ,323422,React Native,JavaScript,iOS,CSS,Android,,,,,
International Business Development Manager,https://www.instahyre.com/job-314068-international-business-development-manager-at-pawfect-foods-noida/,Noida,Pawfect Foods,"Naturally delicious, naturally nutritious",2018.0,10,"Pawfect is a global dog food manufacturer delivering the highest food safety and quality standards with diverse flavors and nutritional ingredients, upheld by rigorous training programs, via an e-commerce platform. ",314068,Business Development,International Sales,Sales,,,,,,,
Jr. Graphic Designer,https://www.instahyre.com/job-321040-jr-graphic-designer-at-cimpress-mumbai/,Mumbai,Cimpress,Empowering people to make an impression,1995.0,1000,"Cimpress plc invests in and builds customer-focused, entrepreneurial, mass-customization businesses for the long term producing goods and services to meet individual customer needs with mass production efficiency. ",321040,Customer Service,,,,,,,,,
Senior Site Reliability Engineer (Core),https://www.instahyre.com/job-321652-senior-site-reliability-engineer-core-at-sumo-logic-2-bangalore-greater-noida-work-from-home/,"Bangalore,Greater Noida,Work From Home",Sumo Logic,Be a Part of Something Legendary,2010.0,500,"Sumo Logic is a secure, cloud-native, machine data analytics service, delivering real-time, intelligence from structured, semi-structured & unstructured data across the entire application lifecycle & stack. ",321652,AWS,Incident Management,Monitoring,Root Cause Analysis,,,,,,
Site Reliability Engineer,https://www.instahyre.com/job-317064-site-reliability-engineer-at-insticator-work-from-home/,Work From Home,Insticator,Leader in increasing engagement for publishers,2012.0,50,"Insticator empowers publishers and readers with its full suite of engagement and human-moderated commenting products that allow audiences to voice their opinions in safe, and interactive environments. ",317064,AWS,Azure,Google Cloud,Kubernetes,New Relic,,,,,
Business Development Executive,https://www.instahyre.com/job-315944-business-development-executive-at-kaarwan-mumbai/,Mumbai,Kaarwan,Helping learners upskill and advance their design career,2015.0,1,"Kaarwan is an e-learning platform that democratizes learning by offering result-oriented workshops, affordable and live industry relevant courses with certifications empowering architects and designers worldwide. ",315944,Business Development,Sales,,,,,,,,
Sr. Frontend Engineer,https://www.instahyre.com/job-328344-sr-frontend-engineer-at-geoiq-bangalore/,Bangalore,GeoIQ,Hyperlocal intelligence to power your business,2018.0,10,"GeoIQ empowers business analysts to data scientists, to turn location data into business outcomes. Its platform and APIs offer insights on where things happen, why they happen and helps predict what will happen. ",328344,JavaScript,React.js,,,,,,,,
Senior Software Engineer,https://www.instahyre.com/job-330131-senior-software-engineer-at-intentwise-work-from-home/,Work From Home,Intentwise,Unified and reliable analytics and advertising applications,2015.0,50,"Intentwise is a retail media optimization and analytics platform that helps brands, sellers, and agencies accelerate e-commerce growth on marketplaces like Amazon and Walmart with its reliable data store. ",330131,Angular,CI - CD,,,,,,,,
Creative Graphic Designer,https://www.instahyre.com/job-329525-creative-graphic-designer-at-viralbulls-bangalore-noida/,"Bangalore,Noida",ViralBulls,Empowering brands across the digital realm,2019.0,10,"ViralBulls is a digital marketing agency that leverages digital branding and design capabilities including SEO, SMM, PPC, web design and development, etc to elevate the digital presence of 60+ brands. ",329525,2D Animation,3D Animation,Graphic Design,Illustrator,InDesign,Photoshop,,,,
Azure DevOps Engineer,https://www.instahyre.com/job-329858-azure-devops-engineer-at-kombai-bangalore/,Bangalore,Kombai,We are automating the mundane tasks of frontend developers,2022.0,1,Kombai offers a developers tool for web app developers that automates mundane tasks like writing and maintaining CSS and other boilerplate JS codes. It is seed-funded by premier SaaS VC and late-stage investors. ,329858,DevOps,CI - CD,Azure,,,,,,,
